item,number_cmd,PRODUIT,N°PIECE,IND PROD,REF_BAAN,full_cod1,обозначение,номер_заказа
505892,39288,HY03-086,30,D,HY03-086-30,03-086-30,HY03-086-30,39288
505893,39288,HY03-086,37,C,HY03-086-37,03-086-37,HY03-086-37,39288
505894,39288,HY03-086,95,A,HY03-086-95,03-086-95,HY03-086-95,39288
505895,39288,HY16-115,211,B,HY16-115-211,16-115-211,HY16-115-211,39288
505896,39288,HY16-115,212,B,HY16-115-212,16-115-212,HY16-115-212,39288
505897,39288,HY16-115,213,A1,HY16-115-213,16-115-213,HY16-115-213,39288
505898,39288,HY01-288,11,B,HY01-288-11,01-288-11,HY01-288-11,39288
0,0,0,0,0,0,01-288-11-01,HY01-288-11-01,39288
0,0,0,0,0,0,01-288-11-02,HY01-288-11-02,39288
505901,39288,HY01-288,12,B,HY01-288-12,01-288-12,HY01-288-12,39288
505902,39288,HY01-288,13,A,HY01-288-13,01-288-13,HY01-288-13,39288
505903,39288,HY01-288,14,A,HY01-288-14,01-288-14,HY01-288-14,39288
505904,39288,HY01-288,15,C,HY01-288-15,01-288-15,HY01-288-15,39288
505905,39288,HY01-288,16,A,HY01-288-16,01-288-16,HY01-288-16,39288
505906,39288,HY01-288,18,A,HY01-288-18,01-288-18,HY01-288-18,39288
505907,39288,HY01-288,19,A,HY01-288-19,01-288-19,HY01-288-19,39288
505908,39288,HY01-288,21,A,HY01-288-21,01-288-21,HY01-288-21,39288
505909,39288,HY01-288,22,A,HY01-288-22,01-288-22,HY01-288-22,39288
505910,39288,HY01-288,23,A,HY01-288-23,01-288-23,HY01-288-23,39288
505911,39288,HY01-288,24,B,HY01-288-24,01-288-24,HY01-288-24,39288
505912,39288,HY01-288,26,A,HY01-288-26,01-288-26,HY01-288-26,39288
505913,39288,HY01-288,27,B,HY01-288-27,01-288-27,HY01-288-27,39288
505914,39288,HY01-288,31,A,HY01-288-31,01-288-31,HY01-288-31,39288
505915,39288,HY01-288,33,A,HY01-288-33,01-288-33,HY01-288-33,39288
505916,39288,HY01-288,35,B1,HY01-288-35,01-288-35,HY01-288-35,39288
497507,38467,660-0298,329,C.4,660-0298329,660-0298329,660-0298329,38467
496913,38553,005-0176,688,A.3,005-0176688,005-0176688,005-0176688,38553
496914,38553,005-0176,699,A.4,005-0176699,005-0176699,005-0176699,38553
496915,38553,110-0092,960,B.2,110-0092960,110-0092960,110-0092960,38553
496916,38553,121-0241,946,A.3,121-0241946,121-0241946,121-0241946,38553
496917,38553,121-0242,248,A.5,121-0242248,121-0242248,121-0242248,38553
496918,38553,170-0297,284,A.4,170-0297284,170-0297284,170-0297284,38553
496919,38554,121-0230,825,A.7,121-0230825,121-0230825,121-0230825,38554
496920,38554,121-0244,182,A.7,121-0244182,121-0244182,121-0244182,38554
496921,38554,121-0244,315,A.5,121-0244315,121-0244315,121-0244315,38554
496922,38554,121-0244,494,A.4,121-0244494,121-0244494,121-0244494,38554
496923,38554,121-0244,496,A.4,121-0244496,121-0244496,121-0244496,38554
496924,38554,121-0244,497,A.5,121-0244497,121-0244497,121-0244497,38554
496925,38554,121-0244,500,A.4,121-0244500,121-0244500,121-0244500,38554
496926,38554,121-0244,501,A.3,121-0244501,121-0244501,121-0244501,38554
496927,38554,121-0244,948,A.3,121-0244948,121-0244948,121-0244948,38554
496928,38554,130-0132,815,A.3,130-0132815,130-0132815,130-0132815,38554
496929,38554,680-0175,965,A.4,680-0175965,680-0175965,680-0175965,38554
496999,38560,HY13-082,82,A1,HY13-082-82,13-082-82,HY13-082-82,38560
497000,38560,HY13-082,87,A,HY13-082-87,13-082-87,HY13-082-87,38560
497001,38560,HY13-082,88,A,HY13-082-88,13-082-88,HY13-082-88,38560
497002,38560,HY13-082,89,A1,HY13-082-89,13-082-89,HY13-082-89,38560
497003,38560,HY13-082,94,A,HY13-082-94,13-082-94,HY13-082-94,38560
497004,38560,HY13-082,95,A1,HY13-082-95,13-082-95,HY13-082-95,38560
497005,38560,HY13-082,97,A,HY13-082-97,13-082-97,HY13-082-97,38560
497006,38560,HY13-215,323,A,HY13-215-323,13-215-323,HY13-215-323,38560
496931,38562,HY05-129,11,A,HY05-129-11,05-129-11,HY05-129-11,38562
496932,38562,HY05-129,16,A,HY05-129-16,05-129-16,HY05-129-16,38562
496933,38562,HY10-119,10,B,HY10-119-10,10-119-10,HY10-119-10,38562
496934,38562,HY10-119,11,B,HY10-119-11,10-119-11,HY10-119-11,38562
496935,38562,HY10-119,12,A,HY10-119-12,10-119-12,HY10-119-12,38562
496936,38562,HY10-119,13,A,HY10-119-13,10-119-13,HY10-119-13,38562
496937,38562,HY10-119,14,A,HY10-119-14,10-119-14,HY10-119-14,38562
496938,38562,HY10-119,15,A,HY10-119-15,10-119-15,HY10-119-15,38562
496939,38562,HY10-119,16,A,HY10-119-16,10-119-16,HY10-119-16,38562
496940,38562,HY10-119,17,A,HY10-119-17,10-119-17,HY10-119-17,38562
496941,38562,HY05-129,12,C,HY05-129-12,05-129-12,HY05-129-12,38562
496942,38562,HY10-223,11,B,HY10-223-11,10-223-11,HY10-223-11,38562
496943,38562,HY10-223,12,A,HY10-223-12,10-223-12,HY10-223-12,38562
497562,38566,120-0089,327,A.5,120-0089327,120-0089327,120-0089327,38566
497563,38566,120-0090,47,D.2,120-0090047,120-0090047,120-0090047,38566
497564,38566,120-0090,199,A.4,120-0090199,120-0090199,120-0090199,38566
497565,38566,120-0090,349,C.3,120-0090349,120-0090349,120-0090349,38566
497566,38566,120-0115,216,A.3,120-0115216,120-0115216,120-0115216,38566
497567,38566,120-0253,747,B.4,120-0253747,120-0253747,120-0253747,38566
497568,38566,120-0253,748,B.4,120-0253748,120-0253748,120-0253748,38566
497569,38566,120-0253,751,B.4,120-0253751,120-0253751,120-0253751,38566
497570,38566,120-0253,752,B.4,120-0253752,120-0253752,120-0253752,38566
497571,38566,120-0253,753,B.4,120-0253753,120-0253753,120-0253753,38566
497572,38566,125-0040,1,A.8,125-0040001,125-0040001,125-0040001,38566
497573,38566,125-0040,101,A.4,125-0040101,125-0040101,125-0040101,38566
497574,38566,125-0040,102,A.2,125-0040102,125-0040102,125-0040102,38566
497575,38566,125-0040,201,A.2,125-0040201,125-0040201,125-0040201,38566
497576,38566,125-0040,202,A.3,125-0040202,125-0040202,125-0040202,38566
497577,38566,125-0040,211,A.2,125-0040211,125-0040211,125-0040211,38566
497578,38566,110-0093,849,A.3,110-0093849,110-0093849,110-0093849,38566
497579,38566,120-0089,581,A.6,120-0089581,120-0089581,120-0089581,38566
497580,38566,120-0089,726,A.2,120-0089726,120-0089726,120-0089726,38566
497581,38566,120-0090,64,A.3,120-0090064,120-0090064,120-0090064,38566
497582,38566,120-0090,66,B.3,120-0090066,120-0090066,120-0090066,38566
497583,38566,120-0090,397,A.5,120-0090397,120-0090397,120-0090397,38566
497584,38566,120-0090,494,B.2,120-0090494,120-0090494,120-0090494,38566
497585,38566,120-0090,537,A.5,120-0090537,120-0090537,120-0090537,38566
497586,38566,120-0090,538,B.2,120-0090538,120-0090538,120-0090538,38566
497587,38566,120-0095,137,A.2,120-0095137,120-0095137,120-0095137,38566
497588,38566,120-0119,385,A.3,120-0119385,120-0119385,120-0119385,38566
497589,38566,120-0119,398,A.3,120-0119398,120-0119398,120-0119398,38566
497590,38566,125-0040,2,A.3,125-0040002,125-0040002,125-0040002,38566
497591,38566,125-0040,103,A.2,125-0040103,125-0040103,125-0040103,38566
497173,38566,110-0089,657,A.5,110-0089657,110-0089657,110-0089657,38566
497292,38566,110-0095,463,B.2,110-0095463,110-0095463,110-0095463,38566
497293,38566,121-0232,67,A.5,121-0232067,121-0232067,121-0232067,38566
497294,38566,125-0030,301,A.4,125-0030301,125-0030301,125-0030301,38566
497295,38566,110-0089,651,B.2,110-0089651,110-0089651,110-0089651,38566
497296,38566,110-0089,653,A.5,110-0089653,110-0089653,110-0089653,38566
497297,38566,110-0089,655,A.5,110-0089655,110-0089655,110-0089655,38566
497298,38566,110-0102,7,A. 2,110-0102007,110-0102007,110-0102007,38566
497299,38566,110-0102,242,A. 2,110-0102242,110-0102242,110-0102242,38566
497300,38566,121-0238,242,A.4,121-0238242,121-0238242,121-0238242,38566
497301,38566,125-0030,1,A.4,125-0030001,125-0030001,125-0030001,38566
497179,38566,121-0231,128,A.3,121-0231128,121-0231128,121-0231128,38566
497180,38566,121-0231,134,A.3,121-0231134,121-0231134,121-0231134,38566
497181,38566,121-0231,135,A.5,121-0231135,121-0231135,121-0231135,38566
497182,38566,121-0231,969,A.3,121-0231969,121-0231969,121-0231969,38566
497183,38566,121-0232,44,A.8,121-0232044,121-0232044,121-0232044,38566
497184,38566,121-0232,109,A.3,121-0232109,121-0232109,121-0232109,38566
497185,38566,121-0232,145,A.3,121-0232145,121-0232145,121-0232145,38566
497186,38566,121-0232,146,A.4,121-0232146,121-0232146,121-0232146,38566
497187,38566,121-0232,166,A.7,121-0232166,121-0232166,121-0232166,38566
